"REGION","employee_type","Industry_type","monthlyORhourly","skill_type","gender","Age","yrs_of_Exp","tax_grade","no_of_child","job","rank","education","employment_type","salary_type","weekly_work_hour","yearly_income","paid_holiday_days","number_of_employee","male_percent","female_percent"
1,2,9,NA,6,1,38,6,NA,0,13,4,5,1,NA,40,49786,30,4,61.3,38.7
1,2,3,NA,6,1,37,7,1,0.5,15,4,2,1,NA,38.5,28116,29,3,71.5,28.5
1,2,2,NA,4,1,60,26,3,0,12,4,2,1,NA,37.5,84000,30,2,92.6,7.4
2,2,5,NA,6,1,37,4,4,1,12,4,7,1,NA,39.5,29321,29,3,78.9,21.1
1,1,2,1,1,1,32,1,1,0,3,2,2,1,1,38,35058,28,3,95.8,4.2
1,2,2,NA,5,1,59,14,3,0,7,4,5,1,NA,35,48433,35,5,90,10
1,1,7,1,3,1,44,2,NA,0,11,2,2,1,NA,56,31934,26,2,92.1,7.9
2,2,2,NA,6,1,46,12,4,1,8,4,5,1,NA,40,26053,27,2,93.5,6.5
1,1,2,2,1,1,43,27,1,0,5,2,2,1,1,36,26662,30,3,81.6,18.4
1,1,2,1,2,2,57,15,1,0,10,1,1,1,1,40,25592,30,6,72.2,27.8
1,1,2,2,2,1,26,9,1,0,20,1,7,1,1,39,25468,31,2,82.6,17.4
1,2,5,NA,7,2,30,2,1,0,14,4,7,1,NA,40,30138,28,5,49.6,50.4
1,2,5,NA,5,1,41,25,1,0,14,4,2,1,NA,38.5,40513,30,2,95,5
1,2,9,NA,8,2,34,1,NA,0,14,9,7,1,NA,25,1,28,2,48.3,51.7
1,2,9,NA,6,2,23,2,NA,0,14,4,2,1,NA,40,24120,30,2,25.8,74.2
1,1,2,2,1,2,37,1,5,0,14,8,2,1,1,16,1,10,6,88.5,11.5
1,2,8,NA,NA,1,23,3,1,0,10,0,1,4,NA,38,12309,30,6,66.5,33.5
1,1,4,2,3,1,51,28,1,0,11,1,1,1,1,42.5,30174,31,4,91.6,8.4
1,2,9,NA,4,1,39,2,NA,0,7,4,6,2,NA,38.5,70409,30,6,64,36
1,2,2,NA,7,2,36,2,5,0,14,9,2,2,NA,30,19050,30,4,89.7,10.3
1,2,9,NA,6,2,29,5,NA,0,13,4,2,1,NA,38.5,39528,26,2,75.8,24.2
1,1,4,2,1,1,22,1,1,0,3,1,7,2,1,39.5,1,30,3,82,18
1,2,2,NA,8,2,23,4,1,0,14,4,3,1,NA,35,22952,30,5,69,31
1,1,2,2,3,1,30,1,1,0,2,1,1,2,1,38,1,32,5,92.1,7.9
1,1,9,1,2,2,39,3,NA,0,19,1,2,1,NA,39,25154,30,3,30.5,69.5
1,1,9,1,1,1,39,3,NA,0,11,9,2,1,NA,30.45,24608,24,3,77.4,22.6
1,1,7,1,3,2,58,5,NA,0,11,2,2,1,NA,40,25239,30,4,93.2,6.8
1,2,2,NA,4,1,38,1,3,3,12,4,2,1,NA,40,1,NA,2,87.2,12.8
1,2,2,NA,7,2,54,14,5,0,14,9,2,1,NA,20,17264,33,2,91.3,8.7
1,2,2,NA,6,1,35,11,3,0.5,8,4,2,1,NA,35,43973,30,5,88.4,11.6
2,1,2,1,1,1,38,4,1,0,20,2,2,1,1,40,21419,25,2,93.9,6.1
1,1,2,2,3,2,54,5,4,0,20,1,1,1,1,40,11410,24,2,13.1,86.9
1,2,8,NA,9,2,43,1,5,0,10,4,2,1,NA,38,1,30,6,78,22
1,2,5,NA,8,2,39,1,4,0,13,9,2,1,NA,23.01,1,5,2,63.8,36.2
1,1,2,2,1,1,48,10,1,0,20,2,2,1,1,38,19574,30,2,93.1,6.9
1,2,9,NA,5,1,39,4,NA,0,13,4,2,1,NA,38,53379,30,2,78.4,21.6
1,1,9,2,3,2,34,1,NA,0,10,9,2,1,NA,21,1,12,3,72.3,27.7
1,2,2,NA,5,1,46,17,3,0,14,4,7,1,NA,38,84000,30,2,70.9,29.1
2,1,5,2,3,1,22,1,1,0,20,1,1,1,1,40,1,18,2,74.3,25.7
1,1,2,1,0,1,41,19,3,2,2,2,2,1,1,38,46473,33,6,96.5,3.5
1,2,2,NA,7,2,45,2,1,0,9,4,2,1,NA,36,19944,30,4,93,7
1,1,9,2,1,1,39,9,NA,0,15,1,1,1,NA,38,29758,30,6,88.3,11.7
1,1,2,1,1,1,31,4,4,0,3,1,1,1,1,40,26785,30,4,90.2,9.8
1,1,9,1,3,1,47,7,NA,0,6,1,1,1,NA,37.5,23655,30,5,50,50
2,2,5,NA,8,1,20,4,1,0,9,4,2,1,NA,40,14831,30,4,37.1,62.9
1,1,2,2,2,1,32,12,3,3,10,1,2,1,1,39,26781,30,5,83.5,16.5
1,2,2,NA,5,1,34,5,1,0,8,4,2,1,NA,35,84000,30,6,87.5,12.5
2,1,7,1,1,2,42,25,NA,0,4,2,2,1,NA,38,26310,30,56,80.4,19.6
1,2,4,NA,8,2,47,1,1,0,14,4,2,1,NA,39,1,18,2,65.7,34.3
1,1,5,1,0,1,32,18,1,0,10,2,2,1,1,36,32434,30,5,68.5,31.5
1,1,4,2,1,1,23,1,3,1.5,5,1,1,1,1,40,1,18,3,93.4,6.6
1,1,2,1,3,1,35,2,4,1,3,2,2,2,1,35,34284,30,6,94.2,5.8
1,1,9,2,3,2,29,1,NA,0,19,9,7,1,NA,20.11,1,30,6,9,91
2,2,2,NA,7,1,42,14,4,2,14,4,2,1,NA,40,42597,30,4,68.9,31.1
1,2,2,NA,5,1,35,2,3,0,8,4,2,1,NA,37.5,56231,30,5,81.5,18.5
1,2,9,NA,5,1,42,13,NA,0,13,4,4,1,NA,35,47481,30,2,70.6,29.4
1,1,2,1,1,1,60,6,3,0,11,2,2,1,1,40,39816,30,4,89.3,10.7
1,2,2,NA,9,1,17,3,NA,0,10,8,1,1,NA,6,1877,NA,5,43.4,56.6
1,1,1,2,2,1,38,8,3,0.5,6,1,1,1,1,38.5,28207,29,4,63.5,36.5
1,1,4,2,0,1,45,6,3,0,3,2,2,1,1,44,43676,30,2,95.1,4.9
1,2,2,NA,4,1,60,13,3,0,9,4,5,1,NA,40,84000,30,4,87.5,12.5
1,1,1,2,1,1,37,5,1,4,10,1,1,1,1,38,30130,30,4,71.9,28.1
2,2,7,NA,8,1,39,18,NA,0,8,4,2,1,NA,40,25761,31,4,77.1,22.9
1,2,5,NA,7,1,28,10,3,1,9,4,2,1,NA,36,53805,30,6,76.4,23.6
1,2,4,NA,7,1,29,2,1,0,8,4,4,1,NA,37,42607,30,4,64.2,35.8
1,1,2,2,1,1,55,14,3,1,2,2,2,1,1,35,45682,30,6,91.5,8.5
1,2,8,NA,6,2,54,13,4,0,14,4,2,1,NA,38,44832,30,2,60.5,39.5
1,2,2,NA,7,1,31,5,1,0,7,4,6,1,NA,37.5,45224,30,4,70.6,29.4
1,1,9,2,2,1,24,3,NA,0,15,8,2,1,NA,10,1,26,4,94.5,5.5
2,2,7,NA,7,1,37,7,NA,0,14,4,2,1,NA,40,25367,30,2,56.1,43.9
1,1,9,1,1,2,42,2,NA,0,19,8,7,1,NA,2.5,1179,30,6,22.2,77.8
1,2,9,NA,5,1,31,4,NA,0,9,4,6,1,NA,37.2,67751,30,4,88.1,11.9
1,2,9,NA,8,2,37,1,NA,0,14,4,2,1,NA,38,1,18,6,70.7,29.3
1,2,2,NA,9,1,60,2,3,0,8,8,2,1,NA,0,2918,24,6,54.3,45.7
1,1,2,1,0,1,33,14,3,2,6,8,1,1,1,16,21525,13,6,69.5,30.5
1,1,2,2,2,2,48,10,1,0,6,1,1,1,1,40,24421,30,2,66.6,33.4
1,2,5,NA,5,1,34,7,4,0,14,4,7,1,NA,40,57729,29,2,78.3,21.7
1,2,8,NA,6,2,37,21,1,0,10,4,2,1,NA,38,42902,32,6,41.8,58.2
1,2,2,NA,6,1,60,2,4,0.5,9,4,5,1,NA,40,27610,30,3,98.3,1.7
1,2,8,NA,5,1,50,35,3,0,10,4,4,1,NA,39,61843,30,6,58.4,41.6
2,2,3,NA,8,2,51,8,4,0,14,4,2,1,NA,38,25211,30,2,57.5,42.5
2,2,1,NA,7,2,49,10,4,0,14,9,2,1,NA,30,13444,22,2,0,100
1,2,9,NA,9,1,19,1,NA,0,14,8,7,2,NA,7,2082,30,6,82.6,17.4
2,2,2,NA,7,2,30,1,2,0.5,13,4,2,1,NA,42.5,1,20,4,65,35
1,1,2,2,0,1,57,22,3,0,5,2,2,1,1,37.5,36612,30,6,89.2,10.8
1,2,2,NA,7,1,46,12,3,2,16,4,2,1,NA,36.5,67874,35,2,60.6,39.4
1,2,5,NA,7,2,55,20,1,0,9,4,2,3,NA,40,58992,32,6,43.9,56.1
2,1,2,1,1,1,26,4,1,0,10,2,2,1,1,40,21502,30,2,76.1,23.9
2,2,2,NA,5,1,51,37,4,0,8,4,5,1,NA,38,47561,30,2,81.5,18.5
1,1,2,1,1,1,60,27,1,0,10,1,2,1,1,37.5,1,30,5,92.7,7.3
2,2,2,NA,6,2,24,4,1,0,14,4,2,1,NA,40,20855,30,3,74.4,25.6
1,1,9,2,3,2,56,23,NA,0,19,1,7,1,NA,39,21916,30,6,4.9,95.1
2,2,5,NA,5,1,40,8,4,0,12,4,6,1,NA,40,50242,26,2,54,46
1,1,7,2,2,1,25,2,NA,0,10,1,1,1,NA,40,25211,27,4,68.2,31.8
1,1,6,1,2,2,43,7,NA,0,19,1,1,1,NA,39,18047,30,4,44.4,55.6
1,1,2,2,0,1,53,15,4,1,2,2,2,1,3,39.5,40874,33,4,91.9,8.1
2,1,2,2,1,1,38,10,4,2,3,2,2,1,1,40,23858,24,2,82.2,17.8
1,1,2,2,1,1,58,23,1,0,2,1,1,1,1,38,32793,32,3,88.7,11.3
1,1,9,1,3,2,49,7,NA,0,19,9,1,1,NA,33.75,14270,30,6,11.9,88.1
1,2,5,NA,7,2,30,3,3,0,14,4,2,1,NA,40,25163,28,2,50,50
1,1,2,2,2,1,31,7,3,2,10,1,1,1,1,38,18195,30,4,97.9,2.1
2,1,2,2,1,1,40,1,4,1,3,2,2,2,1,40,1,25,2,87.9,12.1
1,2,8,NA,5,1,37,22,4,0,10,4,2,1,NA,39,57699,30,6,48.3,51.7
1,2,1,NA,5,2,37,19,1,0,14,4,2,1,NA,38,53379,30,2,46.2,53.8
1,2,9,NA,5,1,35,2,NA,0,14,4,4,1,NA,38.25,66888,30,3,47.1,52.9
1,1,4,2,1,1,49,32,3,1,5,2,2,1,1,39,1,21,4,91,9
1,1,9,1,3,1,25,1,NA,0,19,1,1,2,NA,40,1,7,4,52.7,47.3
1,1,7,1,1,1,44,10,NA,0,11,2,2,1,NA,38.5,30491,30,2,83.6,16.4
1,2,7,NA,9,1,50,2,NA,0,10,8,2,1,NA,14.5,3865,28,2,90.5,9.5
1,2,2,NA,7,1,37,10,1,0,14,4,4,1,NA,40,40636,30,5,89.3,10.7
1,2,3,NA,7,2,35,19,4,3,14,4,2,1,NA,36,40564,30,5,94.5,5.5
1,2,2,NA,5,1,39,25,1,0,8,4,2,1,NA,40,65130,30,5,88.4,11.6
1,2,2,NA,8,2,31,12,1,0,14,4,2,1,NA,35.75,31112,30,6,73.6,26.4
1,2,4,NA,7,2,56,6,1,0,14,4,2,1,NA,39,42728,30,5,83.5,16.5
1,1,4,1,3,1,21,3,6,0,19,8,2,1,1,9,1,20,2,75,25
1,2,2,NA,5,1,38,13,1,0,8,4,6,1,NA,37.5,72823,30,4,70.6,29.4
2,2,2,NA,4,1,40,7,3,2,12,4,2,1,NA,40,84000,30,4,58,42
2,1,2,1,2,1,34,15,4,2,10,2,2,1,5,38,21064,30,4,83.3,16.7
1,2,3,NA,6,1,54,14,3,1,8,4,2,1,NA,38.5,51558,30,4,82,18
1,2,5,NA,5,2,37,9,1,0,18,4,5,1,NA,37.5,54386,30,2,23.8,76.2
1,2,2,NA,5,2,22,4,1,0,14,0,1,4,NA,40,1,25,2,42.5,57.5
1,1,2,1,0,1,36,13,1,4,2,1,2,1,2,37.5,31277,33,5,98,2
1,1,9,2,1,1,42,2,NA,0,15,1,1,1,NA,40,18592,24,3,84.2,15.8
1,1,2,2,1,1,33,10,3,1,11,1,1,1,1,37,14609,30,3,90.4,9.6
1,1,4,1,1,1,48,14,3,2,2,2,2,1,1,40,29234,33,6,82.3,17.7
1,2,5,NA,8,2,45,11,1,0,9,9,2,1,NA,27.55,26038,30,2,75.5,24.5
1,2,5,NA,4,1,39,24,2,0.5,14,4,2,1,NA,38.5,63955,30,5,71.1,28.9
1,2,9,NA,9,2,54,1,NA,0,14,4,2,2,NA,38.5,1,30,5,37.3,62.7
1,2,8,NA,7,1,43,2,1,1,10,4,2,1,NA,38.5,37055,30,6,40.4,59.6
1,1,6,1,3,1,33,2,NA,0,4,1,1,1,NA,40,18876,25,6,62.6,37.4
1,1,7,1,3,1,52,2,NA,0,11,8,7,1,NA,14,2536,20,2,83.3,16.7
