"REGION","employee_type","Industry_type","monthlyORhourly","skill_type","gender","Age","yrs_of_Exp","tax_grade","no_of_child","job","rank","education","employment_type","salary_type","weekly_work_hour","yearly_income","paid_holiday_days","number_of_employee","male_percent","female_percent"
1,1,2,1,3,2,39,7,5,0,3,9,7,1,1,24.17,17552,30,6,62.5,37.5
1,2,2,NA,NA,1,18,2,1,0,3,0,1,4,NA,35,9041,30,6,84.4,15.6
2,2,6,NA,5,2,48,3,NA,0,12,4,2,1,NA,40,19967,30,1,0,100
1,1,7,1,1,2,33,5,NA,0,11,9,2,1,NA,25,19861,30,6,85.9,14.1
1,1,7,1,2,1,28,5,NA,0,10,1,2,1,NA,38,22254,27,3,77.2,22.8
2,1,2,2,2,2,57,9,1,0,20,1,2,1,1,40,13345,24,3,65,35
1,1,2,2,3,1,47,5,3,0,6,1,7,1,5,40,18858,25,2,100,0
1,1,9,1,3,1,38,1,NA,0,19,8,7,2,NA,14.33,1,6,5,57.1,42.9
1,1,4,2,1,1,60,8,1,0,3,2,2,1,1,38.5,24154,30,1,83.3,16.7
1,2,9,NA,8,2,49,7,NA,0,10,9,7,1,NA,27,1,35,3,36.5,63.5
1,1,2,1,NA,1,17,2,1,0,3,0,1,4,1,37,5272,30,1,80,20
1,2,9,NA,6,2,28,3,NA,0,8,4,5,2,NA,38.5,26826,26,5,45.9,54.1
1,2,9,NA,9,2,25,3,NA,0,11,8,7,1,NA,15,2767,30,3,44.6,55.4
1,2,5,NA,7,2,46,6,3,0,9,4,2,1,NA,37.5,34879,30,6,25.8,74.2
1,1,4,1,2,1,23,1,1,0,3,2,2,1,1,36.8,1,8,1,84.6,15.4
1,2,9,NA,9,1,56,37,NA,0,13,9,2,3,NA,19.25,39070,34,2,38.5,61.5
1,1,2,1,2,1,40,13,3,4,2,1,1,1,1,35,36402,31,6,91.7,8.3
1,1,2,1,NA,2,17,2,1,0,3,0,1,4,1,40,3686,23,2,51.7,48.3
1,2,5,NA,8,2,24,9,1,0,9,4,2,1,NA,37.5,24359,30,4,14.3,85.7
1,1,2,1,3,1,52,14,4,0,3,2,2,1,1,38,38315,30,1,66.6,33.4
2,1,7,1,2,2,52,18,NA,0,11,2,2,1,NA,38.5,30608,30,1,0,100
1,2,2,NA,NA,1,17,1,1,0,3,0,1,4,NA,40,1,30,6,75.2,24.8
1,1,2,1,2,1,30,10,1,0,3,2,2,1,1,41.25,26380,30,2,70.5,29.5
1,1,2,2,3,1,36,2,1,0,2,1,7,1,1,39,27389,30,1,92.3,7.7
1,1,2,1,0,1,41,25,3,2,3,2,2,1,1,35,46671,30,6,80.1,19.9
2,1,5,1,0,2,48,2,3,0,1,2,2,1,5,40,26672,24,3,25,75
1,2,2,NA,4,1,42,6,3,4,12,4,2,1,NA,35,84000,30,2,32.1,67.9
2,1,2,2,1,1,57,22,3,0,2,2,2,1,1,40,37526,30,2,100,0
1,2,9,NA,6,1,53,13,NA,0,5,3,2,1,NA,38.5,35141,30,6,51.6,48.4
1,2,7,NA,7,2,41,4,NA,0,10,4,2,1,NA,38.5,22535,30,4,79.6,20.4
1,2,2,NA,6,1,50,13,1,0,2,4,2,1,NA,40,51784,30,4,84.1,15.9
1,2,8,NA,6,1,60,37,3,0,10,9,5,3,NA,19,41126,25,4,80,20
1,2,5,NA,7,1,28,2,4,0,9,4,2,1,NA,36.92,32027,30,6,8.7,91.3
1,1,7,2,2,1,60,34,NA,0,11,1,2,1,NA,38,34528,30,4,68,32
1,2,1,NA,7,1,40,1,3,4,9,4,2,1,NA,38,1,30,1,78.6,21.4
1,1,2,1,NA,2,21,2,1,0,3,0,1,4,1,39.25,7388,30,2,50,50
1,1,7,1,2,2,53,9,NA,0,11,8,7,1,NA,15,11087,31,6,21.1,78.9
1,1,1,1,1,1,24,1,1,1,4,2,2,1,1,39,20041,22,2,0,100
2,1,2,2,0,1,59,3,4,0,2,3,2,1,1,40,21536,24,1,80,20
1,1,6,1,3,1,21,1,NA,0,4,9,3,1,NA,18.38,1,16,2,55,45
1,1,2,1,3,1,23,1,1,0,3,1,2,2,3,35,1,25,2,97.6,2.4
1,1,9,2,3,1,36,4,NA,0,20,1,1,1,NA,38.75,15760,35,4,60,40
1,1,3,1,1,1,34,13,1,0,3,2,2,1,1,38.5,31293,30,4,78.6,21.4
1,1,6,1,3,2,27,1,NA,0,4,8,7,1,NA,10,1,NA,2,22.2,77.8
1,2,3,NA,5,1,32,2,3,0,7,4,5,1,NA,38.5,36773,29,2,70,30
2,1,2,1,1,1,24,8,1,0,2,2,2,1,1,40,1,25,56,47.2,52.8
1,1,7,1,1,2,48,10,NA,0,11,8,2,1,NA,15,19441,30,6,43.1,56.9
1,2,5,NA,8,2,33,15,1,0,9,4,2,1,NA,37.5,23569,36,5,31.7,68.3
1,1,6,1,1,1,47,1,NA,0,8,2,2,1,NA,39,1,19,5,47.4,52.6
1,2,7,NA,4,1,58,26,NA,0,12,4,4,1,NA,37.5,84000,30,2,45.5,54.5
1,1,5,2,2,1,39,9,1,0.5,10,1,1,1,1,38.5,21935,30,1,86.7,13.3
1,2,8,NA,NA,1,18,1,1,0,10,0,1,4,NA,39,1,30,6,56.2,43.8
1,1,6,1,3,1,38,1,NA,0,4,1,2,1,NA,39,1,6,3,31.4,68.6
2,1,2,2,0,1,49,10,4,1,3,2,2,1,1,38,27801,30,3,88.4,11.6
1,1,2,1,1,1,21,1,1,0,3,2,2,2,5,38,1,13,5,91.7,8.3
1,2,5,NA,5,1,33,10,3,2,9,4,2,1,NA,37.5,28378,30,1,20,80
1,2,9,NA,7,1,34,2,NA,0,10,4,2,1,NA,39.99,43690,30,3,69.8,30.2
1,2,9,NA,7,2,32,3,NA,0,10,4,7,1,NA,40,36762,30,2,28.6,71.4
2,2,9,NA,8,2,56,10,NA,0,14,4,2,1,NA,37,28612,30,4,22.9,77.1
1,2,5,NA,8,1,41,2,3,0,6,4,2,2,NA,37,15844,20,4,12.1,87.9
1,1,2,1,1,1,34,1,4,0,3,2,2,1,1,40,1,22,1,37.5,62.5
1,2,2,NA,5,1,43,17,3,2.5,7,4,5,1,NA,40,84000,30,6,82.9,17.1
1,1,7,2,2,1,51,24,NA,0,11,1,7,1,NA,38,28790,30,2,92.5,7.5
1,1,2,1,2,1,32,5,3,2,3,1,1,1,3,35,31201,30,5,85.7,14.3
1,1,2,1,1,1,29,10,3,1,3,2,2,1,1,38,30159,26,6,99,1
1,2,2,NA,9,1,60,7,3,0,2,8,7,1,NA,15,3559,15,2,43.2,56.8
1,1,2,2,1,1,60,7,3,0,5,2,2,1,1,39,1,30,1,88.3,11.7
1,2,6,NA,8,2,28,3,NA,0,19,4,7,1,NA,39,31452,28,2,26,74
1,2,2,NA,7,2,44,5,NA,0,14,4,2,1,NA,40,28104,25,1,66.7,33.3
1,2,9,NA,5,1,46,4,NA,0,13,4,6,1,NA,40,72537,30,3,80,20
1,1,5,1,3,2,37,1,NA,0,19,8,1,1,2,9,1,30,5,34.9,65.1
2,2,9,NA,6,2,51,16,NA,0,7,9,6,1,NA,32,26881,25,2,52,48
1,1,2,1,1,1,50,20,3,0,2,1,1,1,2,35,37626,30,5,78.2,21.8
1,2,7,NA,6,1,55,18,NA,0,6,4,2,1,NA,38,32105,30,2,88.3,11.7
2,1,7,2,1,1,51,5,NA,0,11,2,7,1,NA,40,17238,28,1,85.7,14.3
1,1,2,1,3,2,37,4,NA,0,2,8,1,1,1,10,3796,27,1,16.7,83.3
2,1,1,1,1,2,21,7,1,0,4,2,1,1,1,40,11878,25,4,46.6,53.4
1,1,7,2,1,1,43,26,NA,0,3,2,2,1,NA,38,1,30,6,100,0
2,1,5,2,1,2,48,6,5,0,4,9,2,1,1,37,11351,24,2,12.5,87.5
1,2,7,NA,8,2,22,3,NA,0,11,4,2,1,NA,38,17879,26,6,70.9,29.1
1,2,8,NA,6,1,42,19,3,3,10,4,2,1,NA,39,44149,30,6,50.7,49.3
1,1,9,2,3,1,30,3,NA,0,3,2,2,1,NA,35,19400,30,5,70,30
1,1,7,1,1,1,49,25,NA,0,5,1,2,1,NA,38,33074,30,6,87.5,12.5
1,1,4,2,1,1,48,16,1,0,5,2,7,1,1,39,30100,30,3,98.8,1.2
2,1,7,1,1,1,33,4,NA,0,11,2,2,1,NA,40,17793,24,1,93.8,6.2
1,1,9,2,2,1,41,1,NA,0,2,2,2,2,NA,40,1,15,2,87.1,12.9
2,2,5,NA,9,2,60,12,4,0,9,8,2,1,NA,14.5,7302,31,1,15.4,84.6
1,1,6,2,3,2,43,3,NA,0,4,8,7,1,NA,8.5,3436,30,2,45.4,54.6
1,2,2,NA,NA,1,17,1,1,0,3,0,1,4,NA,24,1,12,2,90,10
1,1,4,2,3,1,28,4,NA,0,5,8,1,1,1,6,3914,NA,2,86.4,13.6
2,1,3,1,3,1,38,2,4,0,3,2,2,1,1,40,15998,25,1,70,30
1,2,5,NA,8,1,43,28,3,2,14,4,1,1,NA,38,28880,35,3,73.7,26.3
1,2,7,NA,8,2,29,10,NA,0,11,4,2,1,NA,38,23498,26,6,66.7,33.3
1,1,4,2,0,1,57,16,3,3,3,2,2,1,1,37,33011,30,2,95.5,4.5
1,2,9,NA,9,2,21,4,NA,0,8,4,2,1,NA,40,20020,28,2,50,50
1,2,8,NA,7,1,37,1,1,0,10,4,1,1,NA,38,1,35,5,47.3,52.7
1,1,5,1,NA,1,17,1,1,0,3,0,1,4,1,35,1,12,2,73.9,26.1
1,1,4,2,1,1,50,16,1,0,5,2,2,1,1,40,39586,25,1,91.7,8.3
2,1,2,2,1,1,33,3,1,0,2,2,2,1,1,38,21536,30,2,60.6,39.4
1,1,9,2,2,2,49,2,NA,0,19,1,7,1,NA,38,20953,30,1,54.6,45.4
1,1,5,1,1,1,32,7,3,1,3,2,2,1,1,38.5,27399,30,6,71.7,28.3
1,2,2,NA,7,1,39,1,3,2,3,4,2,2,NA,40,37076,30,2,80,20
1,1,2,1,3,1,57,25,3,1,3,1,1,1,1,35,29580,30,4,74.8,25.2
1,1,1,1,3,1,49,4,1,0,4,1,7,1,1,38,16864,24,1,80,20
1,1,2,2,1,1,41,11,3,2,11,2,2,1,1,39,32263,35,1,25,75
1,2,5,NA,6,2,52,24,1,0,9,4,2,1,NA,38.5,28174,30,3,65.4,34.6
1,1,2,2,2,2,51,13,3,0,10,1,1,1,1,38,20548,30,3,48.5,51.5
2,1,6,1,2,2,26,7,NA,0,4,9,7,1,NA,30,10683,30,2,28.6,71.4
2,1,2,2,1,1,46,26,1,0.5,3,2,2,1,1,39,15079,35,2,82.9,17.1
1,1,6,1,2,2,48,7,NA,0,19,9,2,1,NA,32,7752,20,1,53.3,46.7
1,1,6,1,NA,2,17,3,NA,0,19,0,1,4,NA,39,6603,25,2,29.2,70.8
1,1,7,1,2,1,25,6,NA,0,10,9,7,1,NA,25,19307,30,4,58.6,41.4
1,1,2,2,1,1,53,10,4,0,3,1,7,1,1,40,32378,35,1,61.6,38.4
1,1,2,2,1,1,41,7,1,0,3,1,2,1,1,40,1,30,1,83.4,16.6
1,1,9,1,1,1,60,41,NA,0,11,1,7,1,NA,37,28619,30,4,31,69
1,1,2,2,NA,1,19,2,1,0,5,0,1,4,1,40,3976,24,3,92.5,7.5
1,1,2,2,2,1,48,7,3,1,2,1,1,1,3,35,32243,30,4,96.8,3.2
1,1,7,2,3,1,55,1,NA,0,10,8,7,1,NA,0,1,10,4,45.8,54.2
1,1,2,1,1,1,31,10,NA,0,3,2,2,1,NA,37,16717,30,2,70.9,29.1
1,1,5,2,1,1,27,8,1,0,3,2,2,1,1,36,25828,30,3,81.5,18.5
1,1,2,1,1,1,47,14,3,2,2,2,1,1,2,35,37500,30,6,87.7,12.3
1,1,5,2,2,1,23,6,3,1,3,2,2,1,1,36.5,22512,30,2,85.7,14.3
1,1,2,1,0,1,50,1,1,0.5,3,1,2,1,1,38,29671,30,3,88.4,11.6
1,1,7,2,1,1,26,4,NA,0,20,1,1,1,NA,40,20859,26,4,83.4,16.6
1,1,2,1,2,1,37,15,3,2,2,1,2,1,1,37.5,26028,30,3,58.8,41.2
2,1,7,1,1,1,19,4,NA,0,11,2,2,1,NA,38.5,22997,31,56,16,84
1,2,9,NA,4,1,40,2,NA,0,7,4,6,2,NA,40,79516,34,1,61.1,38.9
2,1,4,2,1,1,23,3,1,0,3,2,2,1,1,40,14786,25,2,100,0
1,1,5,1,3,1,42,14,NA,0,10,8,7,1,1,6,1964,30,6,42,58
1,1,1,2,3,2,38,12,5,0,4,9,1,1,1,30,12525,35,3,59.6,40.4
1,1,2,2,2,1,37,13,NA,0,2,1,1,1,1,35,26670,30,3,80,20
2,1,2,2,1,1,44,8,4,1,3,2,7,1,1,40,17422,26,2,90.9,9.1
1,1,9,2,1,1,41,11,NA,0,3,2,2,1,NA,37.5,42720,27,3,100,0
1,2,7,NA,8,2,21,1,NA,0,10,4,2,1,NA,38.5,1,13,4,51,49
1,1,2,2,2,2,53,8,NA,0,9,8,2,1,1,0,3548,30,6,35.9,64.1
1,1,2,1,1,2,51,24,3,0,8,2,2,1,1,40,36773,30,6,70.9,29.1
1,1,5,1,3,1,37,3,1,0,6,9,1,1,1,28.5,14477,30,6,36.2,63.8
1,1,7,2,1,1,29,5,NA,0,10,9,2,1,NA,20,1,30,6,84.1,15.9
1,1,9,2,3,1,33,1,NA,0,20,1,1,1,NA,35,4649,24,3,80.6,19.4
1,1,4,2,1,1,59,1,3,0,20,2,1,1,2,39,23222,28,2,88.9,11.1
1,2,9,NA,7,1,36,3,NA,0,7,4,6,1,NA,40,51722,30,1,57.1,42.9
1,1,9,2,2,1,37,2,NA,0,3,2,2,1,NA,35,26541,24,4,98.3,1.7
1,1,2,2,3,2,53,16,4,0,6,1,2,1,1,36,23368,30,1,35.2,64.8
1,1,1,2,3,2,47,7,5,0,4,9,1,1,1,22.5,13623,30,1,23.1,76.9
1,1,7,1,3,1,28,2,NA,0,11,1,7,1,NA,45,22038,30,2,91.7,8.3
1,2,8,NA,6,2,22,5,1,0,10,4,2,1,NA,39,28704,30,6,59.3,40.7
1,2,1,NA,8,2,31,2,NA,0,4,8,2,1,NA,10,4124,NA,1,0,100
1,1,2,2,1,1,54,13,3,0,2,2,2,1,1,35,45088,30,1,75,25
1,2,8,NA,NA,1,22,3,1,0,10,0,3,4,NA,39,11250,30,4,39.8,60.2
1,1,2,1,0,1,48,34,3,0,2,2,2,1,1,35,53689,30,5,92.5,7.5
2,1,5,1,1,1,23,8,1,0,3,2,2,1,1,40,17392,24,1,71.4,28.6
1,1,6,1,1,2,35,1,NA,0,4,9,7,1,NA,20,1,30,1,25,75
1,1,4,2,1,1,43,4,3,2,5,2,1,1,1,39,25951,30,2,88.9,11.1
2,1,4,1,0,1,27,11,1,0,3,1,1,1,1,38,32134,30,56,81.4,18.6
1,1,4,2,3,1,35,1,1,0,5,1,7,2,5,40,1,13,1,100,0
2,1,2,2,1,1,44,2,4,1,2,2,2,1,2,40,22363,28,1,42.9,57.1
2,1,2,1,1,1,43,30,1,0,2,1,2,1,2,38,26147,30,56,89.3,10.7
1,1,2,1,0,1,43,19,4,0.5,3,1,2,1,1,40,53164,30,4,45.2,54.8
2,1,4,2,1,1,39,8,4,2,5,2,2,1,1,40,18902,30,1,80,20
1,1,2,2,1,1,31,9,3,2,3,2,2,1,1,40,29406,30,2,91.3,8.7
1,1,2,1,0,1,31,15,3,1,2,2,2,1,1,35,33075,30,5,96.2,3.8
2,1,1,1,0,1,56,4,4,0,8,2,2,1,2,38,30766,30,56,76.5,23.5
1,2,5,NA,6,2,28,5,1,0,9,4,2,1,NA,38.75,26372,28,2,62,38
1,1,5,2,0,1,41,25,1,0,3,2,2,1,1,38.5,32820,30,1,77.7,22.3
1,1,2,2,3,1,50,36,3,2,3,2,2,1,1,37,30439,30,3,88.6,11.4
1,1,2,1,1,1,60,19,4,0,3,2,2,1,1,38,32057,27,2,83.4,16.6
1,1,7,1,1,1,31,14,NA,0,3,2,2,1,NA,38,32402,29,6,87.9,12.1
1,2,2,NA,5,1,43,14,3,3,7,4,5,1,NA,35,65688,30,4,71.5,28.5
1,2,5,NA,8,2,43,5,1,0,9,9,2,1,NA,20,12496,30,1,33.3,66.7
1,1,6,1,3,1,41,4,NA,0,19,2,2,1,NA,40,17427,30,3,30.2,69.8
1,1,2,1,3,1,38,5,3,3.5,2,1,1,1,1,39,32719,30,4,88.3,11.7
1,2,8,NA,6,2,39,10,4,0,14,4,1,1,NA,38,43754,30,2,40.7,59.3
1,1,7,2,1,1,50,34,NA,0,3,2,2,1,NA,38,36155,30,6,92.9,7.1
2,1,6,1,1,2,46,11,NA,0,19,2,2,1,NA,40,23050,25,2,42.9,57.1
1,1,5,1,3,2,60,4,1,0,6,8,2,1,NA,7,3798,30,6,24.1,75.9
2,1,3,1,NA,1,19,3,1,0,3,0,1,4,1,38,7708,30,56,84.6,15.4
1,1,4,1,1,1,39,5,3,3,5,1,7,1,5,38,1,30,3,94.6,5.4
1,1,9,1,2,1,33,1,NA,0,3,2,2,1,NA,40,1,12,4,91.7,8.3
1,1,2,2,1,1,55,11,3,1,11,2,2,1,1,45,36334,30,1,100,0
2,1,7,1,1,2,41,16,NA,0,11,2,2,1,NA,38.5,31277,30,56,0,100
2,1,1,2,1,1,37,5,1,0,4,2,2,1,2,40,22424,22,4,18.7,81.3
1,2,9,NA,7,1,37,7,NA,0,4,4,2,1,NA,37.5,45908,31,6,58.2,41.8
1,2,9,NA,5,1,51,11,NA,0,7,4,6,1,NA,39,66204,30,6,22.1,77.9
1,1,4,2,1,1,31,1,1,0.5,3,2,2,1,3,38.5,1,11,1,77.8,22.2
2,1,9,1,2,2,50,1,NA,0,5,9,2,2,NA,34.2,1,16,4,60.5,39.5
1,2,8,NA,5,1,38,11,3,0,10,4,7,1,NA,40,84000,28,4,74.4,25.6
1,2,9,NA,5,1,54,29,NA,0,10,4,5,1,NA,40,68770,33,4,76,24
1,1,2,1,1,1,53,9,3,1,2,2,7,1,3,35,33226,30,6,93.8,6.2
1,1,7,1,1,1,50,16,NA,0,3,9,2,1,NA,32,28340,30,6,86.6,13.4
1,1,5,1,0,1,32,6,1,0,3,9,2,1,1,30,27014,30,1,100,0
1,1,1,2,1,1,27,5,1,0,4,1,1,1,1,40,22525,24,3,83.9,16.1
1,2,7,NA,5,1,46,24,NA,0,8,4,2,1,NA,37.5,78676,30,6,70,30
1,1,6,1,2,2,50,1,NA,0,4,9,7,2,NA,25,1,NA,4,44.9,55.1
2,1,2,2,1,1,42,10,4,0,3,2,2,1,1,40,27612,30,1,87.5,12.5
1,2,5,NA,6,1,36,19,3,2,3,3,2,1,NA,38.5,34958,30,1,61.6,38.4
2,1,5,2,1,1,52,37,4,0,3,2,2,1,2,38,20778,28,2,78.6,21.4
1,2,7,NA,7,1,34,9,NA,0,9,4,4,1,NA,38.5,34669,30,1,70,30
1,2,2,NA,4,1,53,2,4,0,12,4,4,1,NA,40,71627,30,1,63.6,36.4
1,1,7,2,1,1,21,1,NA,0,3,2,2,2,NA,38.5,19289,29,6,75,25
1,2,2,NA,6,1,35,1,3,0,7,4,5,1,NA,35,48911,30,4,82.9,17.1
1,2,5,NA,9,2,17,1,NA,0,9,8,1,2,NA,10,3479,8,4,1.5,98.5
1,1,4,2,2,1,17,1,1,0,5,9,1,1,1,33,1,8,1,93.8,6.2
2,1,2,1,1,1,24,3,1,0,3,2,2,1,1,40,18274,26,2,33.3,66.7
1,2,9,NA,7,2,45,10,NA,0,10,9,2,1,NA,20,14291,27,1,5.9,94.1
1,2,5,NA,8,2,20,1,2,0.5,9,9,7,2,NA,20,1,4,2,18.8,81.2
1,1,2,2,2,1,56,36,3,1,5,2,2,1,1,40,19276,30,3,98.6,1.4
1,1,1,1,3,2,60,37,3,0,4,1,1,1,1,38,18861,33,6,29,71
1,1,1,2,1,1,30,4,3,2,4,2,2,1,1,38.5,1,30,5,74.2,25.8
1,2,8,NA,NA,2,18,2,1,0,10,0,1,4,NA,38.5,9222,27,5,42.8,57.2
2,2,5,NA,8,2,46,8,4,0,9,4,2,1,NA,40,13427,26,1,33.4,66.6
1,2,5,NA,7,1,37,1,1,0,7,4,6,1,NA,35,1,23,6,76.2,23.8
1,1,4,2,1,1,52,21,3,0,2,2,2,1,1,37,37596,30,2,90.7,9.3
1,1,1,2,2,2,18,1,1,0,4,1,7,1,1,40,1,12,4,72.8,27.2
1,1,7,1,2,1,20,2,NA,0,10,1,2,1,NA,38.56,19661,30,4,71,29
2,2,9,NA,6,1,43,12,NA,0,3,3,2,1,NA,40,20288,25,2,71.7,28.3
1,1,2,1,NA,1,20,4,1,0,3,0,1,4,1,38,1,30,3,87.5,12.5
1,2,7,NA,6,1,32,4,NA,0,7,4,5,1,NA,38.5,31483,29,5,77.9,22.1
1,1,4,2,0,1,26,3,1,0,5,2,2,1,1,39,27286,29,1,86.7,13.3
1,1,2,2,1,1,28,11,1,0,3,2,2,1,1,40,32717,28,5,81.8,18.2
2,1,7,1,0,1,58,38,NA,0,3,2,2,1,NA,37.2,32665,30,56,75.4,24.6
1,2,9,NA,6,2,30,1,NA,0,14,4,2,1,NA,40,34461,30,2,14.3,85.7
2,2,7,NA,6,2,33,8,NA,0,20,4,7,1,NA,38.5,41449,30,56,22.2,77.8
1,2,5,NA,4,1,37,17,3,1,9,4,2,1,NA,40,84000,30,4,65.3,34.7
1,1,2,2,3,1,49,11,3,0,2,1,7,1,1,37.5,1,30,6,76.6,23.4
1,1,4,1,NA,1,19,4,1,0,3,0,1,4,1,37.5,7596,30,1,75.1,24.9
2,1,2,1,1,1,60,2,1,0,3,8,2,1,1,10,2591,29,1,92.3,7.7
1,1,1,2,2,1,51,10,3,1,4,1,1,1,1,38,26159,30,4,80.1,19.9
1,1,9,2,3,2,60,12,NA,0,19,8,7,1,NA,8,2813,30,2,87.1,12.9
1,1,2,1,1,1,60,33,3,0,2,1,1,1,2,35,1,30,6,89.3,10.7
1,1,4,1,NA,1,17,1,1,0,5,0,1,4,1,36,1,10,2,87.8,12.2
2,1,7,1,0,1,30,9,NA,0,10,1,1,1,NA,38,24462,30,2,67.8,32.2
2,1,3,1,0,1,49,6,3,1,3,9,2,1,1,35.2,36197,31,56,81.4,18.6
1,1,4,1,1,1,48,17,3,0,3,2,2,1,1,37,31708,30,1,100,0
1,1,4,2,1,1,45,6,3,2,5,2,2,1,1,39,29624,29,2,90,10
1,1,2,1,1,1,34,19,3,2,5,2,2,1,1,38.5,29345,30,1,76.9,23.1
2,1,1,2,1,2,24,1,1,0,4,2,2,1,1,42,12766,24,2,16.7,83.3
1,2,2,NA,6,1,40,20,1,0,2,4,2,1,NA,35,58434,30,6,69.9,30.1
1,2,2,NA,8,1,45,16,3,1,3,4,2,1,NA,38.5,32782,30,3,80.7,19.3
1,2,9,NA,4,1,44,10,NA,0,7,4,6,1,NA,40,69481,30,2,59.4,40.6
1,1,6,1,0,1,53,31,NA,0,4,2,2,1,NA,35,55989,30,2,28.8,71.2
1,2,9,NA,7,1,31,3,NA,0,7,4,5,1,NA,40,43034,30,2,77.8,22.2
1,1,1,2,1,1,44,4,3,1,20,1,2,1,3,38,28877,30,5,79.5,20.5
2,1,5,1,2,1,43,8,4,1,10,1,2,1,1,38,21140,30,56,80.9,19.1
1,2,5,NA,8,1,23,3,1,0,9,4,4,2,NA,38.5,16525,30,4,63.3,36.7
1,2,7,NA,7,1,52,29,NA,0,8,4,2,1,NA,38.5,40940,31,3,85.2,14.8
1,2,5,NA,6,1,44,13,3,2,9,4,2,1,NA,38.5,60651,30,5,52.5,47.5
1,2,5,NA,9,1,18,1,1,0,6,8,1,2,NA,6,2372,0,6,10.8,89.2
1,2,9,NA,8,2,47,16,NA,0,14,4,2,1,NA,35,40474,30,2,46.8,53.2
1,1,2,1,0,1,57,34,3,1,2,2,2,1,3,35,55657,31,6,87.7,12.3
2,1,4,1,1,1,47,12,4,0,2,1,1,1,1,38,24153,30,4,90.9,9.1
1,1,2,1,1,1,50,12,3,0,2,1,2,1,1,37.5,43596,24,3,92.9,7.1
2,1,2,2,1,1,40,8,4,2,3,2,2,1,1,40,16326,26,1,80,20
1,1,2,1,2,1,60,34,3,0,3,1,1,3,1,35,1,12,5,86.8,13.2
2,2,2,NA,7,1,38,6,3,0,8,4,2,1,NA,38.5,36944,30,56,51.1,48.9
1,1,5,1,3,1,44,6,3,2,9,2,2,1,1,40,1,31,5,100,0
1,1,3,1,1,1,27,6,1,0,3,2,2,1,1,38.5,29669,26,4,76.5,23.5
2,2,5,NA,NA,1,23,2,1,0,14,0,1,4,NA,37,10044,30,1,88.2,11.8
1,1,5,2,1,1,19,5,1,0,3,2,2,1,1,38,18250,30,2,100,0
1,1,2,1,1,1,47,7,3,2,2,2,2,1,1,35,42315,30,2,92.9,7.1
2,1,7,1,3,1,40,2,NA,0,11,1,1,1,NA,40,19510,27,1,81.3,18.7
1,2,9,NA,7,2,40,8,NA,0,14,9,2,1,NA,25,14183,30,2,48.5,51.5
1,1,4,2,NA,1,17,1,1,0,5,0,1,4,1,39,1799,21,5,96.9,3.1
2,2,8,NA,6,1,48,8,3,0,10,4,2,1,NA,38,37298,30,3,70.3,29.7
1,2,9,NA,6,1,48,5,NA,0,14,4,2,1,NA,40,26070,30,4,83.5,16.5
1,2,5,NA,8,2,55,6,1,0,9,4,2,1,NA,37.5,21157,30,3,7.4,92.6
1,1,2,1,1,1,44,21,3,0,6,2,2,1,2,35,38494,30,4,59.7,40.3
1,1,2,2,2,2,40,9,5,0,3,9,1,1,1,20,9471,30,2,45,55
1,1,2,2,2,1,52,1,3,0,5,1,2,1,1,40,1,9,4,100,0
1,1,9,1,3,1,30,1,NA,0,19,8,7,1,NA,10,1,NA,2,40.9,59.1
1,1,2,1,2,1,52,22,3,1,2,2,1,1,3,35,34817,30,4,86.5,13.5
1,1,5,1,NA,1,17,1,1,0,3,0,1,4,1,37,1,13,2,83.6,16.4
1,2,5,NA,9,2,18,1,NA,0,9,8,1,1,NA,0,1431,12,3,50,50
1,2,9,NA,7,1,22,6,NA,0,8,9,2,1,NA,18,8845,30,1,58.3,41.7
1,1,4,2,0,1,49,1,3,0,5,2,2,1,1,39,1,16,4,100,0
1,1,5,2,0,1,33,13,3,1,3,2,2,1,1,38.5,30744,30,5,62.1,37.9
1,2,9,NA,7,1,60,10,NA,0,8,9,2,3,NA,18.5,28798,30,4,56.6,43.4
1,1,4,2,1,1,45,1,3,2,5,2,2,1,1,39,1,18,1,85.7,14.3
1,2,2,NA,5,1,46,13,3,1,7,4,6,1,NA,40,62053,30,6,82.6,17.4
1,2,5,NA,9,2,29,3,2,1,9,4,2,1,NA,38.5,24235,25,4,29.6,70.4
2,1,2,2,1,2,47,4,5,0,2,2,7,1,1,40,14458,30,2,61.3,38.7
2,1,3,1,1,1,47,26,4,1,5,2,2,1,1,40,23724,30,3,41.7,58.3
2,1,9,2,3,2,48,1,NA,0,19,9,2,1,NA,34,1,30,3,24.6,75.4
2,1,2,2,1,1,48,2,4,1,2,2,2,1,1,40,22506,25,56,92.2,7.8
2,1,9,1,2,1,60,3,NA,0,20,2,2,2,NA,40,19237,30,1,53.3,46.7
2,1,1,2,3,2,36,1,4,2,4,2,7,1,1,40,1,17,56,21.6,78.4
2,1,2,1,2,1,52,1,1,0,5,2,7,1,1,40,1,24,2,73.9,26.1
1,1,2,1,0,1,42,13,4,0,3,2,2,1,1,35,43620,30,4,93.6,6.4
1,1,9,1,2,1,36,2,NA,0,20,1,1,1,NA,40,31909,24,4,74.1,25.9
1,1,5,2,2,2,50,2,5,0,9,9,2,1,1,22,15108,18,2,5,95
1,1,4,2,0,1,37,22,1,0,5,2,2,1,1,39,37685,30,4,97.2,2.8
